City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Ancud,CL,2022-01-07 17:28:49,-41.8697,-73.8203,79.23,73,8,9.35
264,Bonoua,CI,2022-01-07 17:28:49,5.2741,-3.595,85.62,64,71,8.41
265,Muli,MV,2022-01-07 17:28:49,2.9167,73.5667,82.17,76,95,11.99
266,Grants,US,2022-01-07 17:28:50,35.1473,-107.8514,34.03,80,0,0.0
267,Asau,RO,2022-01-07 17:28:50,46.4333,26.4,28.96,81,47,1.97
268,Kununurra,AU,2022-01-07 17:28:51,-15.7667,128.7333,75.18,94,91,10.36
269,Muros,ES,2022-01-07 17:28:51,42.7762,-9.0603,55.24,75,33,7.49
270,Scarborough,GB,2022-01-07 17:27:17,54.2797,-0.4044,37.51,84,50,1.99
271,Lazaro Cardenas,MX,2022-01-07 17:25:18,17.9583,-102.2,80.04,61,16,1.74
272,Ewa Beach,US,2022-01-07 17:28:52,21.3156,-158.0072,67.01,91,0,3.0
273,Svetlyy,RU,2022-01-07 17:28:52,54.675,20.1347,30.25,77,100,15.77
274,Areosa,PT,2022-01-07 17:28:53,41.7178,-8.8571,55.33,71,1,13.29
275,Kailua,US,2022-01-07 17:28:53,21.4022,-157.7394,67.06,96,9,4.88
276,Arroyo,ES,2022-01-07 17:28:54,41.6096,-4.7969,47.07,73,20,3.44
277,Porto Belo,BR,2022-01-07 17:29:54,-27.1578,-48.5531,81.16,66,94,15.03
278,Sinnamary,GF,2022-01-07 17:29:54,5.3833,-52.95,77.95,81,100,13.44
279,Andapa,MG,2022-01-07 17:29:55,-14.65,49.65,70.66,100,100,0.63
280,Mont-Joli,CA,2022-01-07 17:29:55,48.5839,-68.1921,19.6,91,100,11.52
281,Saldanha,ZA,2022-01-07 17:29:56,-33.0117,17.9442,86.05,77,37,7.4
282,Boyolangu,ID,2022-01-07 17:29:56,-8.1181,111.8935,74.91,85,76,2.95
283,Kinsale,IE,2022-01-07 17:29:56,51.7075,-8.5306,45.77,87,75,9.22
284,Dagana,MR,2022-01-07 17:29:57,16.5165,-15.5068,88.81,9,21,8.59
285,College,US,2022-01-07 17:29:02,64.8569,-147.8028,-24.02,69,0,0.0
286,Hasaki,JP,2022-01-07 17:29:57,35.7333,140.8333,30.6,50,59,4.14
287,Tarrafal,CV,2022-01-07 17:29:58,15.2833,-23.7667,77.79,67,74,16.17
288,Dondo,MZ,2022-01-07 17:29:58,-19.6094,34.7431,81.91,75,90,9.71
289,Port Hedland,AU,2022-01-07 17:29:58,-20.3167,118.5667,84.25,89,79,3.44
290,General Roca,AR,2022-01-07 17:29:59,-39.0333,-67.5833,96.62,20,0,11.01
